"filename", "language", "JSON", "Markdown", "CSS", "HTML", "JavaScript", "XML", "JavaScript JSX", "comment", "blank", "total"
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\common\DiscussionQuestion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 1, 5, 41
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\common\RecommendedBooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 5, 126
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\books\AllBooks\AllBooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 46, 1, 10, 57
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\books\AuctionBooks\AuctionBooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 1, 9, 50
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\books\ExchangeBooks\ExchangeBooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 10, 56
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\books\SellBooks\SellBooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 10, 56
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\books\common\BookCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 6, 112
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\books\common\BooksList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\cart\BookList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 5, 45
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\cart\BookListItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 5, 94
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\cart\Cart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 6, 29
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\cart\CartSummary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 4, 51
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\Chat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 104, 5, 15, 124
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\ChatBox\ChatBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 192, 13, 25, 230
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\ChatBox\Messages\Messages.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 12, 6, 45
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\ChatBox\Messages\MessagesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\Conversations\Conversation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 4, 48
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\Conversations\Conversations.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 56, 2, 4, 62
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\OnlineUsers\OnlineUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 49, 1, 7, 57
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\OnlineUsers\OnlineUsers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 9, 44
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\SendMessage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 10, 79
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\common\Received.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 4, 31
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\chat\common\Sent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 4, 32
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\checkout\Checkout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 84, 2, 9, 95
